endpoint,k,view,point_estimate,ci95_lower,ci95_upper,ci90_lower,ci90_upper,sesoi,p_two_sided,p_two_sided_BH,p_tost,p_tost_BH,equivalent,superior,superior_after_BH,equivalent_after_BH,mdd_80pct_power,n_boot_valid,conclusion,sesoi_basis
ari,2,collectri__viper,0.016385912810346785,-0.010758636740813518,0.04904023648761147,-0.005778959987485584,0.04350898850980323,0.05,0.24,0.26,0.025,0.05,TRUE,FALSE,FALSE,FALSE,0.09083852543929498,200,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,pre-specified; smaller than this pipeline's own k=2 vs k=3 ARI gap (0.085)
ari,2,dorothea_AC__viper,0.019850267672082436,-0.015206934014631007,0.06117351475797385,-0.008680579158133837,0.05261984925992623,0.05,0.26,0.26,0.07,0.07,FALSE,FALSE,FALSE,FALSE,0.09686072984840109,200,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",pre-specified; smaller than this pipeline's own k=2 vs k=3 ARI gap (0.085)
cindex,2,collectri__viper,0.004502787407759322,-0.07636959535020371,0.07702800133182318,-0.050134569959915234,0.06716986529142183,0.02,0.81,0.81,0.155,0.31,FALSE,FALSE,FALSE,FALSE,0.0861203922718851,200,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.02 C-index; below the smallest gain generally regarded as clinically meaningful
cindex,2,dorothea_AC__viper,0.012625753927117773,-0.07973562988414486,0.1057895223376976,-0.047100867237486646,0.09212407381387194,0.02,0.77,0.81,0.33,0.33,FALSE,FALSE,FALSE,FALSE,0.11978648779486102,200,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.02 C-index; below the smallest gain generally regarded as clinically meaningful
cox_lrt,2,collectri__viper,0.20699112946708284,-1.8333808753440788,3.499323975614119,-1.4817051853937302,2.0698694850487263,3.84,0.81,0.96,0.015,0.03,TRUE,FALSE,FALSE,TRUE,3.4446631280504,200,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,"chi-square 3.84 = the 1-df 0.05 critical value, i.e. one 'significant term' worth of prognostic information"
cox_lrt,2,dorothea_AC__viper,0.1974051292523461,-3.435467035884801,4.903011096880711,-1.9130839938352204,3.410345019497343,3.84,0.96,0.96,0.04,0.04,TRUE,FALSE,FALSE,TRUE,5.15455632342743,200,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,"chi-square 3.84 = the 1-df 0.05 critical value, i.e. one 'significant term' worth of prognostic information"
nmi,2,collectri__viper,-0.018615287176330708,-0.03743623359177657,0.0040434282221711365,-0.03321821702468214,0.001052170777335869,0.05,0.11,0.11,0.005,0.01,TRUE,FALSE,FALSE,TRUE,0.06879428312989146,200,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,"same magnitude as the ARI SESOI; exploratory, no established NMI threshold"
nmi,2,dorothea_AC__viper,-0.04511940220951314,-0.07430271354593303,-0.00820633923958641,-0.06946920316400847,-0.017289660749995227,0.05,0.01,0.02,0.34,0.34,FALSE,FALSE,FALSE,FALSE,0.07303869940712697,200,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered","same magnitude as the ARI SESOI; exploratory, no established NMI threshold"
ari,3,collectri__viper,-0.007389701939798868,-0.10418406448537099,0.04921528981092889,-0.0943888045494561,0.04485237049409027,0.05,0.8,0.83,0.23,0.24,FALSE,FALSE,FALSE,FALSE,0.13299794302530718,200,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",pre-specified; smaller than this pipeline's own k=2 vs k=3 ARI gap (0.085)
ari,3,dorothea_AC__viper,-0.009280566319543052,-0.10849085806948797,0.05280786249041728,-0.09390063984005984,0.046208583542111825,0.05,0.83,0.83,0.24,0.24,FALSE,FALSE,FALSE,FALSE,0.13583280026080222,200,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",pre-specified; smaller than this pipeline's own k=2 vs k=3 ARI gap (0.085)
cindex,3,collectri__viper,0.012648069226275644,-0.054423831795888195,0.08913430864940802,-0.04152586414083252,0.06915531648824756,0.02,0.74,0.81,0.42,0.42,FALSE,FALSE,FALSE,FALSE,0.10002857907571648,200,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.02 C-index; below the smallest gain generally regarded as clinically meaningful
cindex,3,dorothea_AC__viper,0.009166783427227777,-0.07629241360584449,0.07786954184537127,-0.05673521066163487,0.07083271672119631,0.02,0.81,0.81,0.405,0.42,FALSE,FALSE,FALSE,FALSE,0.11235082287460822,200,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.02 C-index; below the smallest gain generally regarded as clinically meaningful
cox_lrt,3,collectri__viper,-0.44511542353816025,-19.57896426107782,7.714004111111639,-9.16184485654105,5.7578295750717166,3.84,0.91,0.97,0.155,0.17,FALSE,FALSE,FALSE,FALSE,15.708134161113657,200,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered","chi-square 3.84 = the 1-df 0.05 critical value, i.e. one 'significant term' worth of prognostic information"
cox_lrt,3,dorothea_AC__viper,-0.8148189065035819,-20.33160468053006,7.288551426206811,-8.613133868699391,5.399173174148715,3.84,0.97,0.97,0.17,0.17,FALSE,FALSE,FALSE,FALSE,17.093884326854273,200,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered","chi-square 3.84 = the 1-df 0.05 critical value, i.e. one 'significant term' worth of prognostic information"
